2025-07-15 12:51:17 | INFO | __main__ | DAGSHUB Token: a9c9******
2025-07-15 12:51:17 | INFO | __main__ | Repo Owner: ajitkumarsenthil5
2025-07-15 12:51:17 | INFO | __main__ | MLflow Tracking URI: https://dagshub.com/ajitkumarsenthil5/Loan_Approval_logs.mlflow
2025-07-15 12:51:17 | INFO | __main__ | Use MLflow: True
2025-07-15 12:51:17 | INFO | __main__ | Experiment Name: Loan_Approval_ML
2025-07-15 13:53:51 | INFO | root | 🚀 Running df_loader from main block
2025-07-15 13:53:51 | INFO | root | Creating Connection to the database
2025-07-15 13:56:11 | INFO | root | 🚀 Running df_loader from main block
2025-07-15 13:56:11 | INFO | root | Creating Connection to the database
2025-07-15 13:56:11 | INFO | root | Connection created successfully
2025-07-15 13:56:11 | INFO | root | Creating tables
2025-07-15 13:56:11 | INFO | root | Tables created successfully
2025-07-15 13:56:11 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 13:56:11 | INFO | root | Normalization done !.
2025-07-15 13:56:11 | INFO | root | Inserting data to the tables
2025-07-15 13:56:11 | INFO | root | All data inserted successfully
2025-07-15 13:56:12 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 13:56:12 | INFO | root | ✅ df_loader completed
2025-07-15 14:11:37 | INFO | root | Creating Connection to the database
2025-07-15 14:11:37 | INFO | root | Connection created successfully
2025-07-15 14:11:37 | INFO | root | Creating tables
2025-07-15 14:11:37 | INFO | root | Tables created successfully
2025-07-15 14:11:37 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 14:11:37 | INFO | root | Normalization done !.
2025-07-15 14:11:37 | INFO | root | Inserting data to the tables
2025-07-15 14:11:37 | INFO | root | All data inserted successfully
2025-07-15 14:11:37 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 14:56:33 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 14:56:33 | INFO | root | Creating Connection to the database
2025-07-15 14:56:33 | INFO | root | Connection created successfully
2025-07-15 14:56:33 | INFO | root | Creating tables
2025-07-15 14:56:33 | INFO | root | Tables created successfully
2025-07-15 14:56:33 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 14:56:33 | INFO | root | Normalization done !.
2025-07-15 14:56:33 | INFO | root | Inserting data to the tables
2025-07-15 14:56:33 | INFO | root | All data inserted successfully
2025-07-15 14:56:34 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 14:56:34 | INFO | root | Dataframe loaded successfully!
2025-07-15 15:47:22 | INFO | root | split the data into target and features and defined models
2025-07-15 15:56:15 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 15:56:15 | INFO | root | Creating Connection to the database
2025-07-15 15:56:15 | INFO | root | Connection created successfully
2025-07-15 15:56:15 | INFO | root | Creating tables
2025-07-15 15:56:15 | INFO | root | Tables created successfully
2025-07-15 15:56:15 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 15:56:15 | INFO | root | Normalization done !.
2025-07-15 15:56:15 | INFO | root | Inserting data to the tables
2025-07-15 15:56:15 | INFO | root | All data inserted successfully
2025-07-15 15:56:15 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 15:56:15 | INFO | root | Dataframe loaded successfully!
2025-07-15 15:56:29 | INFO | root | split the data into target and features and defined models
2025-07-15 16:42:08 | INFO | root | 🚀 Running the pipeline build train
2025-07-15 16:42:08 | INFO | root | ✅ logged success
2025-07-15 16:47:22 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 16:47:22 | INFO | root | Creating Connection to the database
2025-07-15 16:47:22 | INFO | root | Connection created successfully
2025-07-15 16:47:22 | INFO | root | Creating tables
2025-07-15 16:47:22 | INFO | root | Tables created successfully
2025-07-15 16:47:22 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 16:47:23 | INFO | root | Normalization done !.
2025-07-15 16:47:23 | INFO | root | Inserting data to the tables
2025-07-15 16:47:23 | INFO | root | All data inserted successfully
2025-07-15 16:47:23 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 16:47:23 | INFO | root | Dataframe loaded successfully!
2025-07-15 16:47:29 | INFO | root | split the data into target and features and defined models
2025-07-15 16:57:10 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 16:57:10 | INFO | root | Creating Connection to the database
2025-07-15 16:57:10 | INFO | root | Connection created successfully
2025-07-15 16:57:10 | INFO | root | Creating tables
2025-07-15 16:57:10 | INFO | root | Tables created successfully
2025-07-15 16:57:10 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 16:57:10 | INFO | root | Normalization done !.
2025-07-15 16:57:10 | INFO | root | Inserting data to the tables
2025-07-15 16:57:10 | INFO | root | All data inserted successfully
2025-07-15 16:57:10 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 16:57:10 | INFO | root | Dataframe loaded successfully!
2025-07-15 16:57:10 | INFO | root | split the data into target and features and defined models
2025-07-15 16:58:46 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 16:58:46 | INFO | root | Creating Connection to the database
2025-07-15 16:58:46 | INFO | root | Connection created successfully
2025-07-15 16:58:46 | INFO | root | Creating tables
2025-07-15 16:58:46 | INFO | root | Tables created successfully
2025-07-15 16:58:46 | INFO | root | Loading the database and Normalizing for a 3NF..
2025-07-15 16:58:46 | INFO | root | Normalization done !.
2025-07-15 16:58:46 | INFO | root | Inserting data to the tables
2025-07-15 16:58:46 | INFO | root | All data inserted successfully
2025-07-15 16:58:46 | INFO | root | 🧹 Tables created, data inserted, and DB connection closed.
2025-07-15 16:58:46 | INFO | root | Dataframe loaded successfully!
2025-07-15 16:58:46 | INFO | root | split the data into target and features and defined models
2025-07-15 17:00:24 | INFO | root | Loading dataframe for manual testing of the 3NF dataframe with Machine Learning algorithms
2025-07-15 17:00:24 | INFO | root | Creating Connection to the database
2025-07-15 17:00:24 | INFO | root | Connection created successfully
2025-07-15 17:00:24 | INFO | root | Creating tables
2025-07-15 17:00:24 | INFO | root | Tables created successfully
2025-07-15 17:00:24 | INFO | root | Loading the database and Normalizing for a 3NF..
